Time,Day ahead forecast,Hour ahead forecast,Current demand,Demand response
00:00,21748,21288,20724,
00:05,21218,21288,20766,
00:10,21218,21288,20705,
00:15,21218,21288,20621,
00:20,21218,21066,20591,
00:25,21218,21066,20541,
00:30,21218,21066,20451,
00:35,21218,20602,20393,
00:40,21218,20602,20309,
00:45,21218,20602,20250,
00:50,21218,20266,20182,
00:55,21218,20266,20116,
01:00,21218,20266,20032,
01:05,20663,20028,19997,
01:10,20663,20028,19975,
01:15,20663,20028,19952,
01:20,20663,19916,19913,
01:25,20663,19916,19839,
01:30,20663,19916,19768,
01:35,20663,19793,19738,
01:40,20663,19793,19690,
01:45,20663,19793,19656,
01:50,20663,19661,19603,
01:55,20663,19661,19558,
02:00,20663,19661,19495,
02:05,20283,19584,19484,
02:10,20283,19584,19462,
02:15,20283,19584,19432,
02:20,20283,19507,19398,
02:25,20283,19507,19353,
02:30,20283,19507,19306,
02:35,20283,19427,,
02:40,20283,19427,,
02:45,20283,19427,,
02:50,20283,19357,,
02:55,20283,19357,,
03:00,20283,19357,,
03:05,20153,19392,,
03:10,20153,19392,,
03:15,20153,19392,,
03:20,20153,19411,,
03:25,20153,19411,,
03:30,20153,19411,,
03:35,20153,19435,,
03:40,20153,19435,,
03:45,20153,19435,,
03:50,20153,19493,,
03:55,20153,19493,,
04:00,20153,19493,,
04:05,20671,19709,,
04:10,20671,19709,,
04:15,20671,19709,,
04:20,20671,19879,,
04:25,20671,19879,,
04:30,20671,19879,,
04:35,20671,20053,,
04:40,20671,20053,,
04:45,20671,20053,,
04:50,20671,20249,,
04:55,20671,20249,,
05:00,20671,20249,,
05:05,21800,20733,,
05:10,21800,20733,,
05:15,21800,20733,,
05:20,21800,21084,,
05:25,21800,21084,,
05:30,21800,21084,,
05:35,21800,21427,,
05:40,21800,21427,,
05:45,21800,21427,,
05:50,21800,21680,,
05:55,21800,21680,,
06:00,21800,21680,,
06:05,23275,22214,,
06:10,23275,22214,,
06:15,23275,22214,,
06:20,23275,22502,,
06:25,23275,22502,,
06:30,23275,22502,,
06:35,23275,22756,,
06:40,23275,22756,,
06:45,23275,22756,,
06:50,23275,22958,,
06:55,23275,22958,,
07:00,23275,22958,,
07:05,23882,23227,,
07:10,23882,23227,,
07:15,23882,23227,,
07:20,23882,23256,,
07:25,23882,23256,,
07:30,23882,23256,,
07:35,23882,23088,,
07:40,23882,23088,,
07:45,23882,23088,,
07:50,23882,22842,,
07:55,23882,22842,,
08:00,23882,22842,,
08:05,22941,22744,,
08:10,22941,22744,,
08:15,22941,22744,,
08:20,22941,22508,,
08:25,22941,22508,,
08:30,22941,22508,,
08:35,22941,22197,,
08:40,22941,22197,,
08:45,22941,22197,,
08:50,22941,21888,,
08:55,22941,21888,,
09:00,22941,21888,,
09:05,21543,21492,,
09:10,21543,21492,,
09:15,21543,21492,,
09:20,21543,21125,,
09:25,21543,21125,,
09:30,21543,21125,,
09:35,21543,20736,,
09:40,21543,20736,,
09:45,21543,20736,,
09:50,21543,20348,,
09:55,21543,20348,,
10:00,21543,20348,,
10:05,19912,20006,,
10:10,19912,20006,,
10:15,19912,20006,,
10:20,19912,19674,,
10:25,19912,19674,,
10:30,19912,19674,,
10:35,19912,19354,,
10:40,19912,19354,,
10:45,19912,19354,,
10:50,19912,19026,,
10:55,19912,19026,,
11:00,19912,19026,,
11:05,18638,18715,,
11:10,18638,18715,,
11:15,18638,18715,,
11:20,18638,18449,,
11:25,18638,18449,,
11:30,18638,18449,,
11:35,18638,18227,,
11:40,18638,18227,,
11:45,18638,18227,,
11:50,18638,18040,,
11:55,18638,18040,,
12:00,18638,18040,,
12:05,17886,17870,,
12:10,17886,17870,,
12:15,17886,17870,,
12:20,17886,17715,,
12:25,17886,17715,,
12:30,17886,17715,,
12:35,17886,17580,,
12:40,17886,17580,,
12:45,17886,17580,,
12:50,17886,17555,,
12:55,17886,17555,,
13:00,17886,17555,,
13:05,17638,17553,,
13:10,17638,17553,,
13:15,17638,17553,,
13:20,17638,17571,,
13:25,17638,17571,,
13:30,17638,17571,,
13:35,17638,17589,,
13:40,17638,17589,,
13:45,17638,17589,,
13:50,17638,17622,,
13:55,17638,17622,,
14:00,17638,17622,,
14:05,17657,17623,,
14:10,17657,17623,,
14:15,17657,17623,,
14:20,17657,17670,,
14:25,17657,17670,,
14:30,17657,17670,,
14:35,17657,17758,,
14:40,17657,17758,,
14:45,17657,17758,,
14:50,17657,17889,,
14:55,17657,17889,,
15:00,17657,17889,,
15:05,18499,18059,,
15:10,18499,18059,,
15:15,18499,18059,,
15:20,18499,18291,,
15:25,18499,18291,,
15:30,18499,18291,,
15:35,18499,18583,,
15:40,18499,18583,,
15:45,18499,18583,,
15:50,18499,18962,,
15:55,18499,18962,,
16:00,18499,18962,,
16:05,20026,19322,,
16:10,20026,19322,,
16:15,20026,19322,,
16:20,20026,19771,,
16:25,20026,19771,,
16:30,20026,19771,,
16:35,20026,20214,,
16:40,20026,20214,,
16:45,20026,20214,,
16:50,20026,20667,,
16:55,20026,20667,,
17:00,20026,20667,,
17:05,21923,21058,,
17:10,21923,21058,,
17:15,21923,21058,,
17:20,21923,21567,,
17:25,21923,21567,,
17:30,21923,21567,,
17:35,21923,22201,,
17:40,21923,22201,,
17:45,21923,22201,,
17:50,21923,22684,,
17:55,21923,22684,,
18:00,21923,22684,,
18:05,23786,22991,,
18:10,23786,22991,,
18:15,23786,22991,,
18:20,23786,23394,,
18:25,23786,23394,,
18:30,23786,23394,,
18:35,23786,23857,,
18:40,23786,23857,,
18:45,23786,23857,,
18:50,23786,24240,,
18:55,23786,24240,,
19:00,23786,24240,,
19:05,25449,24502,,
19:10,25449,24502,,
19:15,25449,24502,,
19:20,25449,24955,,
19:25,25449,24955,,
19:30,25449,24955,,
19:35,25449,25539,,
19:40,25449,25539,,
19:45,25449,25539,,
19:50,25449,25872,,
19:55,25449,25872,,
20:00,25449,25872,,
20:05,26183,26128,,
20:10,26183,26128,,
20:15,26183,26128,,
20:20,26183,26236,,
20:25,26183,26236,,
20:30,26183,26236,,
20:35,26183,26190,,
20:40,26183,26190,,
20:45,26183,26190,,
20:50,26183,26039,,
20:55,26183,26039,,
21:00,26183,26039,,
21:05,25549,26002,,
21:10,25549,26002,,
21:15,25549,26002,,
21:20,25549,25883,,
21:25,25549,25883,,
21:30,25549,25883,,
21:35,25549,25576,,
21:40,25549,25576,,
21:45,25549,25576,,
21:50,25549,25178,,
21:55,25549,25178,,
22:00,25549,25178,,
22:05,24165,24785,,
22:10,24165,24785,,
22:15,24165,24785,,
22:20,24165,24380,,
22:25,24165,24380,,
22:30,24165,24380,,
22:35,24165,23979,,
22:40,24165,23979,,
22:45,24165,23979,,
22:50,24165,23579,,
22:55,24165,23579,,
23:00,24165,23579,,
23:05,22672,23166,,
23:10,22672,23166,,
23:15,22672,23166,,
23:20,22672,22804,,
23:25,22672,22804,,
23:30,22672,22804,,
23:35,22672,22509,,
23:40,22672,22509,,
23:45,22672,22509,,
23:50,22672,22074,,
23:55,22672,22074,,
00:00,22672,22074,,
