Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
00:00,28834,28856,26193,26832,
00:05,28484,28822,26173,24987,
00:10,28484,28782,26239,24987,
00:15,28484,28665,26263,24987,
00:20,28053,28545,26255,24987,
00:25,28053,28358,26122,24987,
00:30,28053,28240,26020,24987,
00:35,27612,28074,25882,24987,
00:40,27612,27964,25794,24987,
00:45,27612,27829,25710,24987,
00:50,27225,27707,25623,24987,
00:55,27225,27558,25583,24987,
01:00,27225,27385,25515,24987,
01:05,26880,27316,25446,23963,
01:10,26880,27321,25497,23963,
01:15,26880,27229,25503,23963,
01:20,26562,27133,25455,23963,
01:25,26562,26990,25352,23963,
01:30,26562,26874,25231,23963,
01:35,26288,26778,25158,23963,
01:40,26288,26673,25043,23963,
01:45,26288,26572,24967,23963,
01:50,26016,,,23963,
01:55,26016,,,23963,
02:00,26016,,,23963,
02:05,25722,,,23222,
02:10,25722,,,23222,
02:15,25722,,,23222,
02:20,25441,,,23222,
02:25,25441,,,23222,
02:30,25441,,,23222,
02:35,25212,,,23222,
02:40,25212,,,23222,
02:45,25212,,,23222,
02:50,25002,,,23222,
02:55,25002,,,23222,
03:00,25002,,,23222,
03:05,24811,,,22713,
03:10,24811,,,22713,
03:15,24811,,,22713,
03:20,24644,,,22713,
03:25,24644,,,22713,
03:30,24644,,,22713,
03:35,24477,,,22713,
03:40,24477,,,22713,
03:45,24477,,,22713,
03:50,24412,,,22713,
03:55,24412,,,22713,
04:00,24412,,,22713,
04:05,24359,,,22466,
04:10,24359,,,22466,
04:15,24359,,,22466,
04:20,24305,,,22466,
04:25,24305,,,22466,
04:30,24305,,,22466,
04:35,24245,,,22466,
04:40,24245,,,22466,
04:45,24245,,,22466,
04:50,24298,,,22466,
04:55,24298,,,22466,
05:00,24298,,,22466,
05:05,24360,,,22678,
05:10,24360,,,22678,
05:15,24360,,,22678,
05:20,24394,,,22678,
05:25,24394,,,22678,
05:30,24394,,,22678,
05:35,24345,,,22678,
05:40,24345,,,22678,
05:45,24345,,,22678,
05:50,24348,,,22678,
05:55,24348,,,22678,
06:00,24348,,,22678,
06:05,24285,,,21958,
06:10,24285,,,21958,
06:15,24285,,,21958,
06:20,24228,,,21958,
06:25,24228,,,21958,
06:30,24228,,,21958,
06:35,24236,,,21958,
06:40,24236,,,21958,
06:45,24236,,,21958,
06:50,24355,,,21958,
06:55,24355,,,21958,
07:00,24355,,,21958,
07:05,24430,,,17798,
07:10,24430,,,17798,
07:15,24430,,,17798,
07:20,24456,,,17798,
07:25,24456,,,17798,
07:30,24456,,,17798,
07:35,24512,,,17798,
07:40,24512,,,17798,
07:45,24512,,,17798,
07:50,24667,,,17798,
07:55,24667,,,17798,
08:00,24667,,,17798,
08:05,24769,,,14790,
08:10,24769,,,14790,
08:15,24769,,,14790,
08:20,24833,,,14790,
08:25,24833,,,14790,
08:30,24833,,,14790,
08:35,24785,,,14790,
08:40,24785,,,14790,
08:45,24785,,,14790,
08:50,24901,,,14790,
08:55,24901,,,14790,
09:00,24901,,,14790,
09:05,24986,,,13615,
09:10,24986,,,13615,
09:15,24986,,,13615,
09:20,25027,,,13615,
09:25,25027,,,13615,
09:30,25027,,,13615,
09:35,25092,,,13615,
09:40,25092,,,13615,
09:45,25092,,,13615,
09:50,25166,,,13615,
09:55,25166,,,13615,
10:00,25166,,,13615,
10:05,25232,,,13171,
10:10,25232,,,13171,
10:15,25232,,,13171,
10:20,25320,,,13171,
10:25,25320,,,13171,
10:30,25320,,,13171,
10:35,25465,,,13171,
10:40,25465,,,13171,
10:45,25465,,,13171,
10:50,25601,,,13171,
10:55,25601,,,13171,
11:00,25601,,,13171,
11:05,25753,,,13273,
11:10,25753,,,13273,
11:15,25753,,,13273,
11:20,25907,,,13273,
11:25,25907,,,13273,
11:30,25907,,,13273,
11:35,26138,,,13273,
11:40,26138,,,13273,
11:45,26138,,,13273,
11:50,26301,,,13273,
11:55,26301,,,13273,
12:00,26301,,,13273,
12:05,26542,,,14064,
12:10,26542,,,14064,
12:15,26542,,,14064,
12:20,26818,,,14064,
12:25,26818,,,14064,
12:30,26818,,,14064,
12:35,27152,,,14064,
12:40,27152,,,14064,
12:45,27152,,,14064,
12:50,27494,,,14064,
12:55,27494,,,14064,
13:00,27494,,,14064,
13:05,27843,,,15225,
13:10,27843,,,15225,
13:15,27843,,,15225,
13:20,28198,,,15225,
13:25,28198,,,15225,
13:30,28198,,,15225,
13:35,28575,,,15225,
13:40,28575,,,15225,
13:45,28575,,,15225,
13:50,28908,,,15225,
13:55,28908,,,15225,
14:00,28908,,,15225,
14:05,29263,,,16836,
14:10,29263,,,16836,
14:15,29263,,,16836,
14:20,29602,,,16836,
14:25,29602,,,16836,
14:30,29602,,,16836,
14:35,29992,,,16836,
14:40,29992,,,16836,
14:45,29992,,,16836,
14:50,30352,,,16836,
14:55,30352,,,16836,
15:00,30352,,,16836,
15:05,30741,,,18776,
15:10,30741,,,18776,
15:15,30741,,,18776,
15:20,31158,,,18776,
15:25,31158,,,18776,
15:30,31158,,,18776,
15:35,31570,,,18776,
15:40,31570,,,18776,
15:45,31570,,,18776,
15:50,31973,,,18776,
15:55,31973,,,18776,
16:00,31973,,,18776,
16:05,32371,,,21063,
16:10,32371,,,21063,
16:15,32371,,,21063,
16:20,32768,,,21063,
16:25,32768,,,21063,
16:30,32768,,,21063,
16:35,33157,,,21063,
16:40,33157,,,21063,
16:45,33157,,,21063,
16:50,33539,,,21063,
16:55,33539,,,21063,
17:00,33539,,,21063,
17:05,33919,,,24155,
17:10,33919,,,24155,
17:15,33919,,,24155,
17:20,34311,,,24155,
17:25,34311,,,24155,
17:30,34311,,,24155,
17:35,34517,,,24155,
17:40,34517,,,24155,
17:45,34517,,,24155,
17:50,34654,,,24155,
17:55,34654,,,24155,
18:00,34654,,,24155,
18:05,34791,,,28350,
18:10,34791,,,28350,
18:15,34791,,,28350,
18:20,34942,,,28350,
18:25,34942,,,28350,
18:30,34942,,,28350,
18:35,34898,,,28350,
18:40,34898,,,28350,
18:45,34898,,,28350,
18:50,34781,,,28350,
18:55,34781,,,28350,
19:00,34781,,,28350,
19:05,34662,,,31673,
19:10,34662,,,31673,
19:15,34662,,,31673,
19:20,34549,,,31673,
19:25,34549,,,31673,
19:30,34549,,,31673,
19:35,34420,,,31673,
19:40,34420,,,31673,
19:45,34420,,,31673,
19:50,34290,,,31673,
19:55,34290,,,31673,
20:00,34290,,,31673,
20:05,34161,,,31775,
20:10,34161,,,31775,
20:15,34161,,,31775,
20:20,34043,,,31775,
20:25,34043,,,31775,
20:30,34043,,,31775,
20:35,33796,,,31775,
20:40,33796,,,31775,
20:45,33796,,,31775,
20:50,33502,,,31775,
20:55,33502,,,31775,
21:00,33502,,,31775,
21:05,33204,,,30571,
21:10,33204,,,30571,
21:15,33204,,,30571,
21:20,32917,,,30571,
21:25,32917,,,30571,
21:30,32917,,,30571,
21:35,32470,,,30571,
21:40,32470,,,30571,
21:45,32470,,,30571,
21:50,32024,,,30571,
21:55,32024,,,30571,
22:00,32024,,,30571,
22:05,31555,,,28567,
22:10,31555,,,28567,
22:15,31555,,,28567,
22:20,31072,,,28567,
22:25,31072,,,28567,
22:30,31072,,,28567,
22:35,30557,,,28567,
22:40,30557,,,28567,
22:45,30557,,,28567,
22:50,30028,,,28567,
22:55,30028,,,28567,
23:00,30028,,,28567,
23:05,29500,,,26619,
23:10,29500,,,26619,
23:15,29500,,,26619,
23:20,28978,,,26619,
23:25,28978,,,26619,
23:30,28978,,,26619,
23:35,28499,,,26619,
23:40,28499,,,26619,
23:45,28499,,,26619,
23:50,28052,,,26619,
23:55,28052,,,26619,
00:00,28052,,,26619,
